director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Action Adventure Sci-Fi,pacific rim,Charlie HunnamClifton Collins Jr.Larry Joe CampbellAction Adventure Sci-Fi
Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,Action Adventure Sci-Fi,transformers: dark of the moon,Glenn MorshowerLester SpeightKevin DunnAction Adventure Sci-Fi
Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,Action Adventure Fantasy,indiana jones and the kingdom of the crystal skull,Harrison FordRay WinstoneJim BroadbentAction Adventure Fantasy
Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,Adventure Animation Comedy Family Fantasy,the good dinosaur,A.J. BuckleyJack McGrawPeter SohnAdventure Animation Comedy Family Fantasy
Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Adventure Animation Comedy Family Fantasy,brave,Kelly MacdonaldJohn RatzenbergerJulie WaltersAdventure Animation Comedy Family Fantasy
Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Action Adventure Sci-Fi Thriller,star trek beyond,Sofia BoutellaMelissa RoxburghLydia WilsonAction Adventure Sci-Fi Thriller
Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,Adventure Animation Family Sci-Fi,wall·e,John RatzenbergerFred WillardJeff GarlinAdventure Animation Family Sci-Fi
Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,Action Comedy Crime Thriller,rush hour 3,Tzi MaDana IveyNoémie LenoirAction Comedy Crime Thriller
Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,Action Adventure Sci-Fi,2012,Oliver PlattLiam JamesTom McCarthyAction Adventure Sci-Fi
Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,Animation Drama Family Fantasy,a christmas carol,Robin WrightColin FirthGary OldmanAnimation Drama Family Fantasy
Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,Action Adventure Sci-Fi,jupiter ascending,Channing TatumMila KunisEddie RedmayneAction Adventure Sci-Fi
Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,Adventure Family Fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe",Jim BroadbentKiran ShahShane RangiAdventure Family Fantasy
Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Action Adventure Sci-Fi,x-men: apocalypse,Jennifer LawrenceMichael FassbenderTye SheridanAction Adventure Sci-Fi
Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,Action Crime Drama Thriller,the dark knight,Christian BaleHeath LedgerMorgan FreemanAction Crime Drama Thriller
Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,Adventure Animation Comedy Family,up,John RatzenbergerDelroy LindoJess HarnellAdventure Animation Comedy Family
Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Action Adventure Animation Comedy Family Sci-Fi,monsters vs. aliens,Amy PoehlerRainn WilsonStephen ColbertAction Adventure Animation Comedy Family Sci-Fi
Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Action Adventure Sci-Fi,iron man,Robert Downey Jr.Jeff BridgesJon FavreauAction Adventure Sci-Fi
Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Adventure Drama Family Mystery,hugo,Chloë Grace MoretzChristopher LeeRay WinstoneAdventure Drama Family Mystery
Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,Action Comedy Sci-Fi Western,wild wild west,Will SmithSalma HayekBai LingAction Comedy Sci-Fi Western
Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,Action Adventure Fantasy Horror Thriller,the mummy: tomb of the dragon emperor,Jet LiBrendan FraserRussell WongAction Adventure Fantasy Horror Thriller
David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,Action Adventure Comedy Sci-Fi,suicide squad,Will SmithRobin Atkin DownesIke BarinholtzAction Adventure Comedy Sci-Fi
Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,Comedy Family Fantasy,evan almighty,Jimmy BennettMorgan FreemanSteve CarellComedy Family Fantasy
Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,Action Adventure Sci-Fi,edge of tomorrow,Tom CruiseLara PulverNoah TaylorAction Adventure Sci-Fi
Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Action Adventure Sci-Fi Thriller,waterworld,Jeanne TripplehornRick AvilesZakes MokaeAction Adventure Sci-Fi Thriller
Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Action Adventure Sci-Fi Thriller,g.i. joe: the rise of cobra,Joseph Gordon-LevittDennis QuaidLeo HowardAction Adventure Sci-Fi Thriller
Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,Adventure Animation Comedy Drama Family Fantasy,inside out,Amy PoehlerMindy KalingPhyllis SmithAdventure Animation Comedy Drama Family Fantasy
Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Action Adventure Sci-Fi,iron man 2,Robert Downey Jr.Scarlett JohanssonJon FavreauAction Adventure Sci-Fi
Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,Action Adventure Drama Fantasy,snow white and the huntsman,Chris HemsworthKristen StewartSam ClaflinAction Adventure Drama Fantasy
Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Action Adventure Family Fantasy Romance,maleficent,Angelina Jolie PittSharlto CopleySam RileyAction Adventure Family Fantasy Romance
Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Action Adventure Drama Sci-Fi,dawn of the planet of the apes,Gary OldmanJudy GreerKodi Smit-McPheeAction Adventure Drama Sci-Fi
Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Action Adventure Drama Fantasy,47 ronin,Keanu ReevesCary-Hiroyuki TagawaJin AkanishiAction Adventure Drama Fantasy
Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,Action Adventure Sci-Fi,captain america: the winter soldier,Scarlett JohanssonChris EvansHayley AtwellAction Adventure Sci-Fi
Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,Adventure Animation Comedy Family Fantasy,shrek forever after,Jon HammKathy GriffinMary Kay PlaceAdventure Animation Comedy Family Fantasy
Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,Action Adventure Family Mystery Sci-Fi,tomorrowland,Judy GreerChris BauerThomas RobinsonAction Adventure Family Mystery Sci-Fi
Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Action Adventure Animation Comedy Drama Family Sci-Fi,big hero 6,Damon Wayans Jr.Daniel HenneyAbraham BenrubiAction Adventure Animation Comedy Drama Family Sci-Fi
Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Adventure Animation Comedy Family Sci-Fi,wreck-it ralph,Jack McBrayerSarah SilvermanJoe Lo TruglioAdventure Animation Comedy Family Sci-Fi
Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,Adventure Animation Family Fantasy,the polar express,Tom HanksEddie DeezenPeter ScolariAdventure Animation Family Fantasy
Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,Action Adventure Sci-Fi,independence day: resurgence,Vivica A. FoxSela WardJudd HirschAction Adventure Sci-Fi
Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,Adventure Animation Family Fantasy,how to train your dragon,Gerard ButlerAmerica FerreraCraig FergusonAdventure Animation Family Fantasy
Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Action Sci-Fi,terminator 3: rise of the machines,Nick StahlM.C. GaineyCarolyn HennesyAction Sci-Fi
James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,Action Adventure Sci-Fi,guardians of the galaxy,Bradley CooperVin DieselDjimon HounsouAction Adventure Sci-Fi
Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Adventure Drama Sci-Fi,interstellar,Matthew McConaugheyAnne HathawayMackenzie FoyAdventure Drama Sci-Fi
Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Action Adventure Sci-Fi Thriller,inception,Leonardo DiCaprioTom HardyJoseph Gordon-LevittAction Adventure Sci-Fi Thriller
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,the hobbit: an unexpected journey,Aidan TurnerAdam BrownJames NesbittAdventure Fantasy
David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,Drama Fantasy Romance,the curious case of benjamin button,Brad PittJason FlemyngJulia OrmondDrama Fantasy Romance
Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Action Adventure Sci-Fi,x-men: first class,Jennifer LawrenceMichael FassbenderOliver PlattAction Adventure Sci-Fi
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure Sci-Fi,the hunger games: mockingjay - part 2,Jennifer LawrencePhilip Seymour HoffmanJosh HutchersonAdventure Sci-Fi
Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,Action Adventure Family Fantasy,the sorcerer's apprentice,Nicolas CageOmar Benson MillerRobert CapronAction Adventure Family Fantasy
Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,Action Adventure Drama Thriller,poseidon,Jimmy BennettMike VogelAndre BraugherAction Adventure Drama Thriller
James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy,alice through the looking glass,Johnny DeppAlan RickmanAnne HathawayAdventure Family Fantasy
Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,Adventure Animation Comedy Family Fantasy,shrek the third,Justin TimberlakeEric IdleRupert EverettAdventure Animation Comedy Family Fantasy
Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,Action Adventure Fantasy,warcraft,Dominic CooperCallum RennieRuth NeggaAction Adventure Fantasy
Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,Action Adventure Sci-Fi,terminator genisys,J.K. SimmonsEmilia ClarkeMatt SmithAction Adventure Sci-Fi
Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,Adventure Family Fantasy,the chronicles of narnia: the voyage of the dawn treader,Bruce SpenceShane RangiLaura BrentAdventure Family Fantasy
Michael Bay,Jennifer Garner,Jaime King,Mako,Action Drama History Romance War,pearl harbor,Jennifer GarnerJaime KingMakoAction Drama History Romance War
Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,Action Adventure Sci-Fi,transformers,Zack WardMichael O'NeillKevin DunnAction Adventure Sci-Fi
Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Action Adventure Biography Drama History Romance War,alexander,Anthony HopkinsAngelina Jolie PittBrian BlessedAction Adventure Biography Drama History Romance War
David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,Adventure Family Fantasy Mystery,harry potter and the order of the phoenix,Robert PattinsonDaniel RadcliffeFiona ShawAdventure Family Fantasy Mystery
Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,harry potter and the goblet of fire,Robert PattinsonDaniel RadcliffeRupert GrintAdventure Family Fantasy Mystery
Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,Action Drama,hancock,Will SmithCharlize TheronEddie MarsanAction Drama
Francis Lawrence,Will Smith,Alice Braga,Willow Smith,Drama Horror Sci-Fi,i am legend,Will SmithAlice BragaWillow SmithDrama Horror Sci-Fi
Tim Burton,Johnny Depp,Christopher Lee,David Kelly,Adventure Comedy Family Fantasy,charlie and the chocolate factory,Johnny DeppChristopher LeeDavid KellyAdventure Comedy Family Fantasy
Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Animation Comedy Family Fantasy,ratatouille,Janeane GarofaloJohn RatzenbergerBrian DennehyAnimation Comedy Family Fantasy
Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,Action Adventure,batman begins,Christian BaleLiam NeesonMorgan FreemanAction Adventure
Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Action Adventure Animation Comedy Family,madagascar: escape 2 africa,Bernie MacJada Pinkett SmithCedric the EntertainerAction Adventure Animation Comedy Family
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Adventure Comedy Family Fantasy,night at the museum: battle of the smithsonian,Robin WilliamsRami MalekSteve CooganAdventure Comedy Family Fantasy
Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Action Adventure Fantasy Sci-Fi Thriller,x-men origins: wolverine,Hugh JackmanRyan ReynoldsDominic MonaghanAction Adventure Fantasy Sci-Fi Thriller
Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,Action Sci-Fi,the matrix revolutions,Essie DavisCollin ChouNona GayeAction Sci-Fi
Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Adventure Animation Comedy Family Fantasy Musical,frozen,Josh GadMaurice LaMarcheLivvy StubenrauchAdventure Animation Comedy Family Fantasy Musical
Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Action Sci-Fi,the matrix reloaded,Steve BastoniDaniel BernhardtHelmut BakaitisAction Sci-Fi
Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy,thor: the dark world,Chris HemsworthNatalie PortmanAnthony HopkinsAction Adventure Fantasy
George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,Action Adventure Sci-Fi Thriller,mad max: fury road,Tom HardyCharlize TheronZoë KravitzAction Adventure Sci-Fi Thriller
Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Mystery Thriller,angels & demons,Tom HanksAyelet ZurerArmin Mueller-StahlMystery Thriller
Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy,thor,Chris HemsworthNatalie PortmanAnthony HopkinsAction Adventure Fantasy
Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton,Adventure Animation Comedy Drama Family,bolt,Chloë Grace MoretzDiedrich BaderJames LiptonAdventure Animation Comedy Drama Family
Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,Action Adventure Animation Comedy Family Fantasy Sci-Fi,g-force,Kelli GarnerPiper Mackenzie HarrisNiecy NashAction Adventure Animation Comedy Family Fantasy Sci-Fi
Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James,Action Adventure Fantasy,wrath of the titans,Liam NeesonEdgar RamírezLily JamesAction Adventure Fantasy
Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee,Comedy Fantasy Horror,dark shadows,Johnny DeppChloë Grace MoretzChristopher LeeComedy Fantasy Horror
Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,Action Adventure Thriller,mission: impossible - rogue nation,Tom CruiseJeremy RennerSean HarrisAction Adventure Thriller
Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik,Drama Fantasy Horror Thriller,the wolfman,Anthony HopkinsSimon MerrellsArt MalikDrama Fantasy Horror Thriller
David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action Adventure Drama Romance,the legend of tarzan,Christoph WaltzAlexander SkarsgårdCasper CrumpAction Adventure Drama Romance
Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn,Adventure Animation Comedy Family,bee movie,Matthew BroderickOprah WinfreyRip TornAdventure Animation Comedy Family
Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell,Action Adventure Animation Comedy Family,kung fu panda 2,Angelina Jolie PittGary OldmanMike BellAction Adventure Animation Comedy Family
M. Night Shyamalan,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,Action Adventure Family Fantasy,the last airbender,Seychelle GabrielNoah RingerAasif MandviAction Adventure Family Fantasy
J.J. Abrams,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,Action Adventure Thriller,mission: impossible iii,Philip Seymour HoffmanTom CruiseEddie MarsanAction Adventure Thriller
Roland Emmerich,Channing Tatum,Jake Weber,Matt Craven,Action Drama Thriller,white house down,Channing TatumJake WeberMatt CravenAction Drama Thriller
Simon Wells,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,Action Adventure Animation Comedy Family Sci-Fi,mars needs moms,Elisabeth HarnoisDan FoglerTom Everett ScottAction Adventure Animation Comedy Family Sci-Fi
David Bowers,Hugh Jackman,Kate Winslet,David Suchet,Adventure Animation Comedy Family,flushed away,Hugh JackmanKate WinsletDavid SuchetAdventure Animation Comedy Family
Rob Minkoff,Ty Burrell,Zach Callison,Karan Brar,Adventure Animation Comedy Family Sci-Fi,mr. peabody & sherman,Ty BurrellZach CallisonKaran BrarAdventure Animation Comedy Family Sci-Fi
Wolfgang Petersen,Brad Pitt,Orlando Bloom,Julian Glover,Adventure,troy,Brad PittOrlando BloomJulian GloverAdventure
Eric Darnell,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,Adventure Animation Comedy Family,madagascar 3: europe's most wanted,Jada Pinkett SmithMartin ShortCedric the EntertainerAdventure Animation Comedy Family
Lee Tamahori,Toby Stephens,Colin Salmon,Rick Yune,Action Adventure Thriller,die another day,Toby StephensColin SalmonRick YuneAction Adventure Thriller
Michael Bay,Bruce Willis,Steve Buscemi,Will Patton,Action Adventure Sci-Fi Thriller,armageddon,Bruce WillisSteve BuscemiWill PattonAction Adventure Sci-Fi Thriller
Barry Sonnenfeld,Will Smith,Rosario Dawson,Rip Torn,Action Adventure Comedy Family Fantasy Mystery Sci-Fi,men in black ii,Will SmithRosario DawsonRip TornAction Adventure Comedy Family Fantasy Mystery Sci-Fi
Robert Zemeckis,Robin Wright,Anthony Hopkins,Sebastian Roché,Action Adventure Animation Fantasy,beowulf,Robin WrightAnthony HopkinsSebastian RochéAction Adventure Animation Fantasy
Alessandro Carloni,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,Action Adventure Animation Comedy Family,kung fu panda 3,J.K. SimmonsAngelina Jolie PittWayne KnightAction Adventure Animation Comedy Family
Brad Bird,Tom Cruise,Jeremy Renner,Michael Nyqvist,Action Adventure Thriller,mission: impossible - ghost protocol,Tom CruiseJeremy RennerMichael NyqvistAction Adventure Thriller
Peter Ramsey,Hugh Jackman,Kamil McFadden,Khamani Griffin,Adventure Animation Family Fantasy,rise of the guardians,Hugh JackmanKamil McFaddenKhamani GriffinAdventure Animation Family Fantasy
Dean Parisot,John Michael Higgins,Richard Burgi,David Herman,Comedy Crime,fun with dick and jane,John Michael HigginsRichard BurgiDavid HermanComedy Crime
Edward Zwick,Tom Cruise,Tony Goldwyn,Chad Lindberg,Action Drama History War,the last samurai,Tom CruiseTony GoldwynChad LindbergAction Drama History War
J.J. Abrams,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,Action Adventure Sci-Fi,star trek,Chris HemsworthLeonard NimoyBruce GreenwoodAction Adventure Sci-Fi
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Fantasy Romance,spider-man,J.K. SimmonsJames FrancoKirsten DunstAction Adventure Fantasy Romance
Dean DeBlois,Gerard Butler,Djimon Hounsou,America Ferrera,Action Adventure Animation Comedy Family Fantasy,how to train your dragon 2,Gerard ButlerDjimon HounsouAmerica FerreraAction Adventure Animation Comedy Family Fantasy
